KY001|Superadmin|123|amsna|089876542314|akuhebat@gmail.com|superadmin|jl. hebat no. 1|1
KY002|manajer|123|aksmd|08847236334|greatman@yahoo.com|manajer|jl. kerenbanget|1
KY003|staff|123|ajsnd|087362545263|ssshhhh@gmail.com|staff|jl. uler no. 3|1
KY004|kasir|123|aksn|085342536487|duit@outlook.com|kasir|jl. kaya no 5|1
KY005|ayunda443|pass101|Ayunda Risu|081234515360|ayunda443@yahoo.com|staff|Jl. Dummy No. 2|1
KY006|satria883|pass102|Satria Baja|081234506548|satria883@yahoo.com|manajer|Jl. Dummy No. 3|1
KY007|budi531|pass103|Budi Santoso|081234527809|budi531@outlook.com|kasir|Jl. Dummy No. 4|1
KY008|fikri8|pass104|Fikri Haikal|081234526471|fikri8@outlook.com|staff|Jl. Dummy No. 5|1
KY009|fikri10|pass105|Fikri Haikal|081234506482|fikri10@outlook.com|kasir|Jl. Dummy No. 6|1
KY010|dian161|pass106|Dian Sastro|081234528961|dian161@outlook.com|kasir|Jl. Dummy No. 7|1
KY011|vania301|pass107|Vania Larissa|081234510823|vania301@yahoo.com|kasir|Jl. Dummy No. 8|1
KY012|maya140|pass108|Maya Estianty|081234510641|maya140@outlook.com|kasir|Jl. Dummy No. 9|1
KY013|ayunda2|pass109|Ayunda Risu|081234503338|ayunda2@outlook.com|staff|Jl. Dummy No. 10|1
KY014|andra580|pass110|Andra Wijaya|081234529468|andra580@yahoo.com|staff|Jl. Dummy No. 11|1
KY015|vania432|pass111|Vania Larissa|081234515607|vania432@gmail.com|kasir|Jl. Dummy No. 12|1
KY016|tara342|pass112|Tara Basro|081234520535|tara342@gmail.com|staff|Jl. Dummy No. 13|1
KY017|karin868|pass113|Karin Novilda|081234507104|karin868@outlook.com|manajer|Jl. Dummy No. 14|1
KY018|satria605|pass114|Satria Baja|081234525581|satria605@yahoo.com|kasir|Jl. Dummy No. 15|1
KY019|budi488|pass115|Budi Santoso|081234506635|budi488@gmail.com|kasir|Jl. Dummy No. 16|1
KY020|nabil256|pass116|Nabil Makarim|081234516991|nabil256@gmail.com|staff|Jl. Dummy No. 17|1
KY021|yoga410|pass117|Yoga Pratama|081234512111|yoga410@gmail.com|staff|Jl. Dummy No. 18|1
KY022|raisa979|pass118|Raisa Andriana|081234504415|raisa979@gmail.com|staff|Jl. Dummy No. 19|1
KY023|reza34|pass119|Reza Rahadian|081234509114|reza34@gmail.com|kasir|Jl. Dummy No. 20|1
KY024|aklncl|asdknca|kjasncas|081234567890|ajksnc@gmail.com|staff|as ajskcnakd|0
KY025|asdas|asdasd|sadasdasd|0838927463287|ajksnc@gmail.com|staff|as ajskcnakd|0
